"Site","Country","Site_identifier","Site_code_2","Site_name","Type_1","Type_2","Site_block","s3","cd1","cy2","dis3","dis4","life1","life2","wnb2","wnb3","wnb5"
16,"SE","SE_JUM_PAIR_FBF","C0365","JUM","FBF","PAIR","JUM_PAIR",2.36094224924012,1.83763931104357,2.71048632218845,0.473404255319149,1.81636271529889,0.562162162162162,0.660810810810811,0.49468085106383,0.143617021276596,0.877659574468085
17,"SE","SE_LIS_PAIR_UBF","C0366","LIS","UBF","PAIR","LIS_PAIR",0.360617760617761,1.28262548262548,2.94131274131274,0.27027027027027,1.96370656370656,0.315217391304348,0.0733695652173913,0.243243243243243,0.0810810810810811,0.12972972972973
18,"SE","SE_LIS_PAIR_FBF","C0367","LIS","FBF","PAIR","LIS_PAIR",0.856936714079571,1.69284683570398,2.63574520717378,0.359307359307359,1.99587713873428,0.81304347826087,0.295652173913043,0.649350649350649,0.298701298701299,0.12987012987013
19,"SE","SE_BUR_PAIR_UBF","C0368","BUR","UBF","PAIR","BUR_PAIR",1.74850863422292,2.43390894819466,1.61915227629513,0.984615384615385,1.66577708006279,2.6,0.402747252747253,1.65164835164835,0.712087912087912,0.603296703296703
20,"SE","SE_BUR_PAIR_FBF","C0369","BUR","FBF","PAIR","BUR_PAIR",2.2048417132216,2.45251396648045,2.22905027932961,0.810055865921788,1.98324022346369,1.97765363128492,0.564245810055866,0.737430167597765,0.837988826815642,0.770949720670391
21,"SE","SE_SKA_PAIR_UBF","C0370","SKA","UBF","PAIR","SKA_PAIR",2.26035868893012,2.73964131106988,2.11873840445269,1.21103896103896,2.35003092145949,2.11842105263158,0.626644736842105,0.681818181818182,1.61688311688312,0.350649350649351
22,"SE","SE_SKA_PAIR_FBF","C0371","SKA","FBF","PAIR","SKA_PAIR",1.95017636684303,2.62389770723104,2.33586860670194,0.770061728395062,2.56834215167548,1.30959752321981,1.27244582043344,0.0462962962962963,1.03703703703704,1.42592592592593
23,"SE","SE_HAG_PAIR_UBF","C0372","HAG","UBF","PAIR","HAG_PAIR",1.85292344786016,2.41500904159132,2.24231464737794,1.15822784810127,1.7377938517179,0.765822784810127,1.17721518987342,1.13924050632911,0.0189873417721519,1.4620253164557
24,"SE","SE_HAG_PAIR_FBF","C0373","HAG","FBF","PAIR","HAG_PAIR",1.93895169578623,2.32867420349435,2.11469681397739,0.707913669064748,1.83514902363823,1.55395683453237,0.488489208633094,1.10503597122302,0.405755395683453,0.958273381294964
25,"SE","SE_NAR_PAIR_UBF","C0374","NAR","UBF","PAIR","NAR_PAIR",1.95786228160329,2.68722165125043,2.19732785200411,0.848920863309353,2.26276121959575,1.7841726618705,0.51978417266187,0.776978417266187,1.07913669064748,1.12230215827338
26,"SE","SE_NAR_PAIR_FBF","C0375","NAR","FBF","PAIR","NAR_PAIR",2.23756613756614,2.28403880070547,2.48677248677249,0.590740740740741,2.19700176366843,1.54752851711027,0.36787072243346,0.372222222222222,1.08333333333333,0.644444444444444
27,"SE","SE_LAN_PAIR_UBF","C0376","LAN","UBF","PAIR","LAN_PAIR",1.98197278911565,2.35136054421769,2.29591836734694,1.18571428571429,1.50136054421769,1.64492753623188,0.505434782608696,1.43571428571429,0.0428571428571429,0.685714285714286
28,"SE","SE_LAN_PAIR_FBF","C0377","LAN","FBF","PAIR","LAN_PAIR",2.17668001780151,2.43235425011126,2.60013351134846,1.32710280373832,1.46973742768135,1.33492822966507,1.30143540669856,1.31775700934579,0.0280373831775701,0.883177570093458
29,"SE","SE_ALO_PAIR_UBF","C0378","ALO","UBF","PAIR","ALO_PAIR",1.76619828259173,2.81576893052303,1.83138173302108,2.13114754098361,1.20921155347385,2.55084745762712,0.169491525423729,2.58196721311475,0,0.319672131147541
30,"SE","SE_ALO_PAIR_FBF","C0379","ALO","FBF","PAIR","ALO_PAIR",1.84085213032581,2.21177944862155,2.31203007518797,0.315789473684211,1.76441102756892,0.888888888888889,0.444444444444444,1.10526315789474,0,1.34210526315789
1,"NO","NO_AKE_FOR","AKE","Akerselva_LON_UP","FOR","FOR","AKE_FOR",2.44132376395534,2.70215311004785,2.03254803675856,1.10428571428571,1.69494118819777,1.84097589653145,0.939741328630218,1.22368421052632,0.560526315789474,1.17631578947368
2,"NO","NO_AKE_PAIR_UBF","AKE","Akerselva_PAIR_UP","UBF","PAIR","AKE_PAIR",2.91530054644809,3,1.19044366380432,0.944379391100703,1.05391905737705,2.79789666209419,0.140832190214906,2.75409836065574,0.0368852459016394,0.209016393442623
3,"NO","NO_AKE_PAIR_FBF","AKE","Akerselva_PAIR_DOWN","FBF","PAIR","AKE_PAIR",2.64894660894661,2.99480519480519,1.5438961038961,1.13818181818182,1.46580086580087,2.59635416666667,0.375,2.22077922077922,0.381818181818182,0.397402597402597
5,"NO","NO_ALN_FOR","ALN","Alna_LON_UP","FOR","FOR","ALN_FOR",2.29631646380525,2.92453555413197,1.68110185778347,1.1872197309417,1.46003630151612,2.52927927927928,0.440878378378378,2.1322869955157,0.396860986547085,0.390134529147982
6,"NO","NO_ALN_PAIR_UBF","ALN","Alna_PAIR_UP","UBF","PAIR","ALN_PAIR",2.98461538461538,3,1.15384615384615,1.00769230769231,1.1,3,0,2.86153846153846,0.138461538461538,0
7,"NO","NO_ALN_PAIR_FBF","ALN","Alna_PAIR_DOWN","FBF","PAIR","ALN_PAIR",2.95017253278123,2.99700943179204,1.27177363699103,0.991304347826087,1.35932827237175,2.98067632850242,0.0157004830917874,2.49275362318841,0.478260869565217,0.0289855072463768
8,"NO","NO_HOV_PAIR_UBF","HOV","Hovinbekken_PAIR_UP","UBF","PAIR","HOV_PAIR",2.2624962406015,2.94606516290727,1.94159398496241,1.97410526315789,1.21132832080201,1.39740820734341,1.87742980561555,2.32421052631579,0.233684210526316,0.442105263157895
9,"NO","NO_HOV_PAIR_FBF","HOV","Hovinbekken_PAIR_DOWN","FBF","PAIR","HOV_PAIR",2.57242063492063,2.90828924162258,1.86541005291005,1.10185185185185,1.82958553791887,2.21904761904762,0.488690476190476,1.39583333333333,1.07638888888889,0.506944444444444
12,"NO","NO_FRO_FOR","FRO","Frognerelva_LON_UP_1","FOR","FOR","FRO_FOR",2.15377928949357,2.89392794154699,2.08491223649954,1.57566137566138,1.29116669816075,1.41084585912172,1.42565576186266,1.8015873015873,0.325396825396825,0.841269841269841
13,"NO","NO_FRO_FOR","FRO","Frognerelva_LON_UP_2","FOR","FOR","FRO_FOR",2.20033414861001,2.83153627981214,1.86632141804556,1.25198938992042,1.55292121671432,2.28793309438471,0.417413381123059,1.59151193633952,0.660477453580902,0.580901856763926
14,"NO","NO_FRO_PAIR_UBF","FRO","Frognerelva_PAIR_UP","UBF","PAIR","FRO_PAIR",2.01917898837451,2.92943857113107,1.34974172393658,1.80970219646948,1.1513162125908,2.84698198198198,0.0667117117117117,2.68144454925212,0.128958361406818,0.103085837488209
15,"NO","NO_FRO_PAIR_FBF","FRO","Frognerelva_PAIR_DOWN","FBF","PAIR","FRO_PAIR",2.12155068874045,2.92774862277237,1.38031916462641,1.68899442494322,1.2729485051393,2.7695670274771,0.100853455453789,2.47470576089201,0.317778236630188,0.120173446211026
