Genus_family,Country,Taxa_code,Type_1,Type_2,Site_block,Site_no,Site_name,Group,Mode,Lowest_level,Tribe,Ratio_DHA_LNA,Ratio_EPA_LNA,Ratio_EPA_ALA,EPA_perc,DHA_perc,LNA_perc,ALA_perc,chl_a_m2_day,Riparian_PC1,Catchment_PC1
Linyphiidae,NO,Liny,UBF,PAIR,GAU_PAIR,18,GAU_UBF,Arachnida,Web,Linyphiidae,NA,0.002168455,0.111737722,10.46941296,2.095535221,0.040667329,18.75405355,0.200157853,0.698194444,-0.34740255,0.239693028
Linyphiidae,NO,Liny,UBF,PAIR,HMA_PAIR,28,HMA_UBF,Arachnida,Web,Linyphiidae,NA,0.015491021,0.16912947,5.317560853,1.615229486,0.147943198,9.550254514,0.303753832,0.446527778,0.331578951,0.229040131
Linyphiidae,NO,Liny,UBF,PAIR,HMI_PAIR,25,HMI_UBF,Arachnida,Web,Linyphiidae,NA,0.001800021,0.147981074,5.21428119,1.536181448,0.018685899,10.3809319,0.294610396,0.750130208,0.329945952,-0.334891603
Linyphiidae,NO,Liny,UBF,PAIR,HSK_PAIR,21,HSK_UBF,Arachnida,Web,Linyphiidae,NA,0.031268526,0.213022465,5.096991487,1.358735584,0.199442151,6.378367565,0.266575996,0.752822581,0.230552574,-0.529001972
Linyphiidae,SE,Liny,FBF,PAIR,LIS_PAIR,C0367,LIS_FBF,Arachnida,Web,Linyphiidae,NA,0.001595583,0.062523412,2.381679146,1.073014793,0.027383089,17.16180809,0.450528693,0.500886574,0.931074238,-0.008172792
Linyphiidae,SE,Liny,FBF,PAIR,NAR_PAIR,C0375,NAR_FBF,Arachnida,Web,Linyphiidae,NA,0.002234667,0.094880133,3.843598673,1.422338043,0.033499653,14.9908942,0.370053735,0.757727183,0.797823487,-0.432799748
Linyphiidae,SE,Liny,FBF,PAIR,ORS_PAIR,C0361,ORS_FBF,Arachnida,Web,Linyphiidae,NA,0.002411801,0.078730151,2.876069752,1.155489183,0.03539698,14.67657777,0.401759791,0.777156085,0.524192165,-0.392015317
Linyphiidae,SE,Liny,FBF,PAIR,SKA_PAIR,C0371,SKA_FBF,Arachnida,Web,Linyphiidae,NA,0.002518405,0.075868385,2.425538386,1.179559475,0.039154764,15.54744411,0.486308311,0.919792659,0.976079032,-0.359094805
Linyphiidae,SE,Liny,FBF,PAIR,TEM_PAIR,C0363,TEM_FBF,Arachnida,Web,Linyphiidae,NA,0.001198771,0.052074998,1.838098859,0.413242529,0.009512879,7.935526506,0.224820622,0.230303571,0.841632593,-0.481196885
Linyphiidae,SE,Liny,FBF,PAIR,TEM_PAIR,C0363,TEM_FBF,Arachnida,Web,Linyphiidae,NA,0.001198771,0.052074998,1.838098859,0.413242529,0.009512879,7.935526506,0.224820622,0.230303571,0.841632593,-0.481196885
Linyphiidae,NO,Liny,FOR,FOR,HSK_FOR,20,HSK_FOR,Arachnida,Web,Linyphiidae,NA,0.003792957,0.071886604,7.320232231,1.318322162,0.069558705,18.33891289,0.180092942,0.235740741,0.437613336,-0.940741294
Linyphiidae,SE,Liny,FOR,FOR,FIB_FOR,C0358,FIB_FOR,Arachnida,Web,Linyphiidae,NA,0.003939724,0.086807245,1.304051585,1.541487107,0.069959987,17.7575858,1.182075253,0.15105698,0.790625614,-1.291644448
Linyphiidae,SE,Liny,FOR,FOR,GRA_FOR,C0356,GRA_FOR,Arachnida,Web,Linyphiidae,NA,0.004383166,0.104306519,1.346473606,1.883530735,0.079149689,18.05765118,1.39886198,0.243426282,0.687810372,-1.409774173
Linyphiidae,SE,Liny,FOR,FOR,LAF_FOR,C0357,LAF_FOR,Arachnida,Web,Linyphiidae,NA,0.005376673,0.097879819,1.851035877,1.752294194,0.096255929,17.90250746,0.946655986,0.242150463,0.888661933,-0.602791284
Linyphiidae,SE,Liny,FOR,FOR,OVE_FOR,C0359,OVE_FOR,Arachnida,Web,Linyphiidae,NA,0.001325423,0.086664861,1.763872107,1.684634496,0.025764223,19.4384953,0.955077462,0.248784722,0.948596033,-0.772665362
Linyphiidae,SE,Liny,UBF,PAIR,ALO_PAIR,C0378,ALO_UBF,Arachnida,Web,Linyphiidae,NA,0.001038894,0.046761014,3.089160056,0.910449015,0.020227534,19.47025797,0.294723808,0.589711934,0.360562405,-0.232031731
Linyphiidae,SE,Liny,UBF,PAIR,LAN_PAIR,C0376,LAN_UBF,Arachnida,Web,Linyphiidae,NA,0.003652383,0.083340679,4.102337874,1.396711358,0.0612105,16.75905907,0.340467168,0.359780983,0.463900274,-1.058959646
Linyphiidae,SE,Liny,UBF,PAIR,NAR_PAIR,C0374,NAR_UBF,Arachnida,Web,Linyphiidae,NA,0.002475746,0.087658586,4.769831386,1.495959378,0.042250458,17.06574841,0.313629405,0.248784722,0.45443682,-0.466137372
Linyphiidae,SE,Liny,UBF,PAIR,ORS_PAIR,C0360,ORS_UBF,Arachnida,Web,Linyphiidae,NA,0.005858779,0.093581902,3.425881802,1.472872531,0.09221051,15.73886081,0.429925087,0.794689484,0.364957309,-0.351383392
Linyphiidae,SE,Liny,UBF,PAIR,SKA_PAIR,C0370,SKA_UBF,Arachnida,Web,Linyphiidae,NA,0.000948476,0.055733046,2.321961088,0.912208049,0.015524129,16.36745383,0.392861041,0.709101649,-0.263608506,-0.406033884
Linyphiidae,SE,Liny,UBF,PAIR,TEM_PAIR,C0362,TEM_UBF,Arachnida,Web,Linyphiidae,NA,0.002230419,0.042743628,2.334263059,0.639641226,0.033377321,14.96459849,0.274022769,0.353985119,0.219408874,-0.173362182
Linyphiidae,NO,Liny,FBF,PAIR,SAN_PAIR,36,SAN_FBF,Arachnida,Web,Linyphiidae,NA,0.010012988,0.283439794,10.36120283,2.576286686,0.091011662,9.089361271,0.248647452,0.155882353,0.192592363,-0.228863127
Linyphiidae,NO,Liny,FOR,FOR,AKE_FOR,1,AKE_FOR,Arachnida,Web,Linyphiidae,NA,0.009561022,0.242326637,8.809741981,3.076303498,0.12137587,12.69486318,0.349193371,0.207834758,0.713646671,-1.554220999
Linyphiidae,SE,Liny,FOR,FOR,DAL_FOR,C0355,DAL_FOR,Arachnida,Web,Linyphiidae,NA,0.002456346,0.091648944,1.375160687,1.670002137,0.044758863,18.221728,1.21440509,0.146974359,0.816645422,-1.232470567
Linyphiidae,BE,Liny,FBF,PAIR,BOE_PAIR,8,BOE_FBF,Arachnida,Web,Linyphiidae,NA,0.00409616,0.059904588,2.14339969,0.4984923,0.034085939,8.321437713,0.232570856,0.017777778,-0.086739833,0.514379273
Linyphiidae,BE,Liny,FBF,PAIR,KOU_PAIR,11,KOU_FBF,Arachnida,Web,Linyphiidae,NA,0.004872804,0.017460325,0.91432291,0.136707197,0.038152059,7.829590576,0.149517414,0.018055556,-0.364641013,0.262723576
Linyphiidae,BE,Liny,FBF,PAIR,MOZ_PAIR,10,MOZ_FBF,Arachnida,Web,Linyphiidae,NA,0.006861563,0.016330797,1.213117745,0.164488254,0.069111539,10.07227369,0.135591334,0.021388889,-0.068125086,0.538674046
Linyphiidae,BE,Liny,FBF,PAIR,SLI_PAIR,5,SLI_FBF,Arachnida,Web,Linyphiidae,NA,0.001440678,0.012021103,0.864120783,0.15944626,0.019108953,13.26386253,0.184518488,0.008611111,0.186588335,1.186925008
